A;008;20010822 12:46;CDIXON;
D;008;209941;70;20010822 12:46;P;;;;;;
D;008;209941;70;20010822 12:46;P;;;;;;
D;008;209941;70;20010822 12:46;V;;;;;;
D;008;209941;70;20010822 12:46;V;;;;;;
B;008;209961;71;20010822 12:46;;;1 A;BURUDA ST;MAYFIELD WEST;2304;398.4;M;20010402;20010504;143000;A;R;;;JF;;;7601664;
C;008;209961;71;20010822 12:46;3//156246;
D;008;209961;71;20010822 12:46;P;;;;;;
D;008;209961;71;20010822 12:46;P;;;;;;
D;008;209961;71;20010822 12:46;P;;;;;;
D;008;209961;71;20010822 12:46;V;;;;;;
B;008;210131;72;20010822 12:46;;;10;CAHILL CL;MINMI;2287;1;H;20010306;20010427;610000;R;R;;;RA;;;7608994;
C;008;210131;72;20010822 12:46;4//819426;
D;008;210131;72;20010822 12:46;P;;;;;;
D;008;210131;72;20010822 12:46;P;;;;;;
D;008;210131;72;20010822 12:46;V;;;;;;
D;008;210131;72;20010822 12:46;V;;;;;;
B;008;210210;73;20010822 12:46;;;19;CALLAN AVE;MARYLAND;2287;666.3;M;20010220;20010328;209500;A;R;;;AA;;;7608120;
C;008;210210;73;20010822 12:46;4002//817991;
D;008;210210;73;20010822 12:46;P;;;;;;
D;008;210210;73;20010822 12:46;P;;;;;;
D;008;210210;73;20010822 12:46;V;;;;;;
B;008;210250;74;20010822 12:46;;;124;CALLAN AVE;MARYLAND;2287;685.9;M;20010328;20010508;143000;A;R;;;AA;;;7610565;
C;008;210250;74;20010822 12:46;2110//807968;
D;008;210250;74;20010822 12:46;P;;;;;;
D;008;210250;74;20010822 12:46;P;;;;;;
D;008;210250;74;20010822 12:46;V;;;;;;
B;008;210654;75;20010822 12:46;;6;;CARBINE CL HOUSE NO: 6/8;MARYLAND;2287;;;20010319;20010501;121000;;3;COMMERCIAL UN ;6;;;;7593080;
C;008;210654;75;20010822 12:46;6//SP 62343;
D;008;210654;75;20010822 12:46;P;;;;;;
D;008;210654;75;20010822 12:46;P;;;;;;
D;008;210654;75;20010822 12:46;V;;;;;;
B;008;210693;76;20010822 12:46;;;31;CARDIFF RD;NEW LAMBTON;2305;695.6;M;20010408;20010510;470000;A;R;;;FL;;;7642723;
C;008;210693;76;20010822 12:46;14//19050;
D;008;210693;76;20010822 12:46;P;;;;;;
D;008;210693;76;20010822 12:46;V;;;;;;
B;008;210716;77;20010822 12:46;;;173;CARDIFF RD;ELERMORE VALE;2287;794.2;M;20010404;20010509;128000;A;R;;;AM;;;7606072;
C;008;210716;77;20010822 12:46;23//739662;
D;008;210716;77;20010822 12:46;P;;;;;;
D;008;210716;77;20010822 12:46;P;;;;;;
D;008;210716;77;20010822 12:46;P;;;;;;
D;008;210716;77;20010822 12:46;V;;;;;;
B;008;210842;78;20010822 12:46;;4;132 A;CARDIFF RD;ELERMORE VALE;2287;;;20010518;20010523;132500;;R;;4;;;;7649224;
C;008;210842;78;20010822 12:46;4//SP 62122;
D;008;210842;78;20010822 12:46;P;;;;;;
D;008;210842;78;20010822 12:46;V;;;;;;
B;008;210929;79;20010822 12:46;;;5;CARNLEY AVE;NEW LAMBTON;2305;486.9;M;20010326;20010501;118000;A;R;;;FE;;;7627244;
C;008;210929;79;20010822 12:46;12//21593;
D;008;210929;79;20010822 12:46;P;;;;;;
D;008;210929;79;20010822 12:46;V;;;;;;
