A;010;20030619 08:55;PDANN;
D;010;284492;68;20030619 08:55;P;;;;;;
D;010;284492;68;20030619 08:55;P;;;;;;
D;010;284492;68;20030619 08:55;V;;;;;;
B;010;285530;69;20030619 08:55;;;9;SKY CL;TAYLORS BEACH;2316;2189;M;20030129;20030227;265000;I;V;VACANT LAND;;AT;IV;0;9452949;
C;010;285530;69;20030619 08:55;25//1013999;
D;010;285530;69;20030619 08:55;P;;;;;;
D;010;285530;69;20030619 08:55;V;;;;;;
B;010;286144;70;20030619 08:55;;;23;SPINNAKER WAY;CORLETTE;2315;424;M;20020211;20030311;280000;A;R;RESIDENCE;;FC;AC;0;9451088;
C;010;286144;70;20030619 08:55;4091//1014409;
D;010;286144;70;20030619 08:55;P;;;;;;
D;010;286144;70;20030619 08:55;P;;;;;;
D;010;286144;70;20030619 08:55;V;;;;;;
D;010;286144;70;20030619 08:55;V;;;;;;
B;010;287016;71;20030619 08:55;;9;3;WORIMI DR;SALAMANDER BAY;2317;;;20030210;20030310;236000;;R;RESIDENCE;9;;XA;0;9449356;
C;010;287016;71;20030619 08:55;9//SP 57591;
D;010;287016;71;20030619 08:55;P;;;;;;
D;010;287016;71;20030619 08:55;P;;;;;;
D;010;287016;71;20030619 08:55;V;;;;;;
B;010;288047;72;20030619 08:55;;;52;PRESIDENT POINCARE PDE;TANILBA BAY;2319;695.6;M;20030217;20030317;260000;A;R;RESIDENCE;;FT;AC;0;9465768;
C;010;288047;72;20030619 08:55;854//10716;
D;010;288047;72;20030619 08:55;P;;;;;;
D;010;288047;72;20030619 08:55;P;;;;;;
D;010;288047;72;20030619 08:55;V;;;;;;
D;010;288047;72;20030619 08:55;V;;;;;;
B;010;288271;73;20030619 08:55;;;76;TILLIGERRY TRACK;TANILBA BAY;2319;556.4;M;20030217;20030217;220000;A;R;RESIDENCE;;FT;AC;0;9467224;
C;010;288271;73;20030619 08:55;667//16365;
D;010;288271;73;20030619 08:55;P;;;;;;
D;010;288271;73;20030619 08:55;V;;;;;;
D;010;288271;73;20030619 08:55;V;;;;;;
B;010;288442;74;20030619 08:55;;;85;BUTTERWICK RD;DUNNS CREEK;2321;3.085;H;20030212;20030312;367500;R;R;RESIDENCE;;RC;RR;0;9457492;
C;010;288442;74;20030619 08:55;21//618428;
D;010;288442;74;20030619 08:55;P;;;;;;
D;010;288442;74;20030619 08:55;P;;;;;;
D;010;288442;74;20030619 08:55;V;;;;;;
D;010;288442;74;20030619 08:55;V;;;;;;
B;010;289353;75;20030619 08:55;;;211 B;TOMAGO RD;TOMAGO;2322;9264;M;20030228;20030228;120000;R;V;VACANT LAND;;RR;RV;0;9441444;
C;010;289353;75;20030619 08:55;2//553695;
D;010;289353;75;20030619 08:55;P;;;;;;
D;010;289353;75;20030619 08:55;V;;;;;;
